Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,2,20,8,40.0,0.10,0.25,,,0,0,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,2,21,8,38.1,0.05,0.13,16.5,1,1,2,3.3,1.8,0.09,-1.3,-0.8,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,0,7,2,28.6,0.00,0.00,,,0,0,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,1,23,11,47.8,0.04,0.09,18.6,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,0,18,5,27.8,0.00,0.00,18.3,0,0,0,1.9,1.9,0.11,-1.9,-1.9,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,0,3,0,0.0,0.00,,18.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,3,22,7,31.8,0.09,0.29,17.7,2,1,1,3.0,2.3,0.11,0.0,-0.3,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,1,15,6,40.0,0.07,0.17,14.5,0,0,0,2.2,2.2,0.14,-1.2,-1.2,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,4,17,7,41.2,0.18,0.43,21.1,2,1,1,1.6,0.9,0.05,+2.4,+2.1,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,3,21,7,33.3,0.14,0.43,18.8,1,0,0,1.9,1.9,0.09,+1.1,+1.1,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,3,10,4,40.0,0.20,0.50,19.0,0,1,1,2.0,1.3,0.13,+1.0,+0.7,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,0,14,4,28.6,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,2,9,3,33.3,0.00,0.00,23.0,0,2,3,2.9,0.6,0.07,-0.9,-0.6,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,3,8,5,62.5,0.38,0.60,16.7,0,0,0,1.9,1.9,0.24,+1.1,+1.1,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,2,26,8,30.8,0.08,0.25,20.1,0,0,0,1.1,1.1,0.04,+0.9,+0.9,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,2,10,4,40.0,0.20,0.50,19.1,2,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,3,16,6,37.5,0.19,0.50,21.2,0,0,0,1.8,1.8,0.11,+1.2,+1.2,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,3,22,7,31.8,0.14,0.43,18.5,0,0,2,4.5,3.0,0.15,-1.5,0.0,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,3,10,4,40.0,0.20,0.50,14.3,0,1,1,1.6,0.8,0.08,+1.4,+1.2,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,4,12,5,41.7,0.33,0.80,14.7,0,0,0,2.0,2.0,0.17,+2.0,+2.0,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,3,13,4,30.8,0.15,0.50,14.2,1,1,1,2.6,1.8,0.14,+0.4,+0.2,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,0,15,6,40.0,0.00,0.00,22.5,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,6,27,16,59.3,0.22,0.38,15.6,1,0,0,4.3,4.3,0.16,+1.7,+1.7,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,1,16,7,43.8,0.06,0.14,18.3,1,0,0,2.0,2.0,0.14,-1.0,-1.0,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,0,18,3,16.7,0.00,0.00,20.6,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,1,4,1,25.0,0.25,1.00,14.2,0,0,0,0.9,0.9,0.22,+0.1,+0.1,Match Report
,,,,,,39-8-9,119,50,,117,898,331,36.9,0.12,0.32,18.1,29,12,16,95.9,84.6,0.10,+21.1,+20.4,
