Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4,14,28.6,21,3,42.9,38.6,10,50.0,45.1,11,0,0.0,1,18.7,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,2,3,66.7,27,11,11.1,25.3,3,0.0,19.0,7,0,0.0,2,15.5,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,4,1,3,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,6,1,5,83.3,0,2.0,+1.0,1,0,1,0,2,6,33.3,24,7,20.8,28.9,5,20.0,22.8,11,0,0.0,0,14.0,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,6,2,4,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,0,0,1,,1,,,1,0,1,0,,,,,,,,,,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,2,2,0,0.0,0,1.6,-0.4,0,0,0,0,2,2,100.0,19,6,10.5,24.1,1,0.0,27.0,3,0,0.0,0,13.3,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,4,12,33.3,34,5,20.6,28.4,5,100.0,73.4,4,1,25.0,1,21.3,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,2,5,40.0,28,4,17.9,28.4,3,0.0,25.3,8,1,12.5,0,13.0,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,7,1,6,85.7,0,1.6,+0.6,1,0,1,0,6,12,50.0,33,4,36.4,37.7,1,0.0,8.0,3,0,0.0,0,15.3,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,2,0,2,100.0,1,0.0,0.0,0,0,0,0,2,6,33.3,27,4,22.2,30.0,9,0.0,21.1,8,0,0.0,0,16.3,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,5,0,5,100.0,1,1.1,+1.1,0,0,0,0,4,16,25.0,29,10,34.5,39.6,9,66.7,54.2,15,1,6.7,1,13.6,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,0,1,0,,0,0.9,-0.1,1,1,0,0,1,4,25.0,23,3,17.4,26.3,2,0.0,23.5,2,1,50.0,1,15.3,Match Report
