Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,4,0,0,15,15,0,3,16,16,0,1,0,64,3,3,50.0,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,1,0,0,6,14,7,16,18,7,1,0,0,88,12,17,41.4,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,3,0,0,6,21,5,17,10,12,0,0,0,80,13,14,48.1,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,0,0,0,15,15,3,19,3,12,1,1,0,88,15,10,60.0,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,4,0,0,18,12,2,18,10,19,0,0,0,78,4,3,57.1,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,3,0,0,17,14,4,8,5,12,1,0,0,73,15,16,48.4,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,4,0,0,16,16,0,6,28,7,0,0,0,73,8,12,40.0,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,0,0,0,13,20,2,2,27,3,3,0,0,60,16,9,64.0,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,1,0,0,6,13,1,4,14,9,0,0,0,57,7,12,36.8,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,2,0,0,14,14,2,22,12,7,0,0,0,79,20,19,51.3,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,4,0,0,19,21,0,11,14,18,0,0,0,79,14,19,42.4,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,4,0,0,9,11,4,11,9,11,0,0,0,78,10,7,58.8,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,3,0,0,7,12,2,8,15,11,1,0,0,77,9,13,40.9,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,1,0,0,8,10,2,6,20,7,0,0,0,54,18,15,54.5,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,2,0,0,13,13,2,7,8,12,0,0,0,44,6,3,66.7,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,4,0,0,19,17,3,18,18,15,1,0,0,105,15,20,42.9,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,4,0,0,8,17,0,9,8,15,0,1,0,82,17,6,73.9,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,2,0,0,12,7,3,10,22,12,0,0,0,60,11,2,84.6,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,2,0,0,14,19,0,5,14,13,0,1,0,64,10,11,47.6,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,0,0,0,10,11,4,15,14,12,0,0,0,68,9,8,52.9,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,0,0,0,8,11,4,4,22,13,0,0,0,67,16,9,64.0,Match Report
,,,,,,39-8-9,119,50,,110,2,0,651,798,136,698,757,605,12,6,0,3632,572,494,53.7,
