Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,1,10,3,30.0,0.10,0.33,,,0,0,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,2,3,2,66.7,0.67,1.00,17.8,0,0,0,0.7,0.7,0.22,+1.3,+1.3,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,1,15,3,20.0,0.07,0.33,,,0,0,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,0,7,3,42.9,0.00,0.00,20.7,1,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,0,9,2,22.2,0.00,0.00,20.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,1,21,7,33.3,0.05,0.14,18.9,1,0,1,2.6,1.8,0.09,-1.6,-0.8,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,0,7,2,28.6,0.00,0.00,18.8,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,0,18,5,27.8,0.00,0.00,16.5,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,1,0,0,,,,,0,1,1,0.8,0.0,,+0.2,0.0,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,1,10,4,40.0,0.10,0.25,16.7,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,0,14,3,21.4,0.00,0.00,17.8,1,0,0,1.4,1.4,0.10,-1.4,-1.4,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,4,18,10,55.6,0.22,0.40,12.8,0,0,0,3.5,3.5,0.20,+0.5,+0.5,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,1,11,5,45.5,0.09,0.20,15.0,2,0,0,1.7,1.7,0.15,-0.7,-0.7,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,1,20,5,25.0,0.05,0.20,18.3,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,0,9,0,0.0,0.00,,16.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
