Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,0.1,2.6,43,47443,Karim Benzema,4-3-3,Daniele Orsato,Match Report,Leg 1 of 2
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,3.0,0.8,69,42180,Karim Benzema,4-3-3,José Luis Munuera,Match Report,
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,2.2,1.2,66,9952,Karim Benzema,4-3-3,Isidro Díaz de Mera,Match Report,
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,1.6,0.8,65,52410,Karim Benzema,4-3-3,Jesús Gil,Match Report,
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,1.9,0.9,44,59895,Karim Benzema,4-3-3,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,2.0,1.4,62,17191,Karim Benzema,4-3-3,José Sánchez,Match Report,
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,0.8,3.5,40,60017,Nacho,4-4-1-1,Juan Martínez,Match Report,
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,2.9,1.7,45,15714,Karim Benzema,4-3-3,Pablo González,Match Report,
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,1.9,1.1,43,38689,Karim Benzema,4-3-3,Clément Turpin,Match Report,Leg 1 of 2
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,1.1,0.7,69,50740,Marcelo,4-3-3,César Soto,Match Report,
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,0.8,1.9,43,59839,Karim Benzema,4-3-3,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,1.8,1.2,59,40629,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,4.5,1.3,65,21360,Karim Benzema,4-3-3,Ricardo de Burgos,Match Report,
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,1.6,2.7,40,52217,Karim Benzema,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,2.0,1.6,58,58686,Marcelo,4-3-3,José Luis Munuera,Match Report,
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,2.6,1.6,47,61416,Karim Benzema,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,1.2,2.9,58,63874,Nacho,4-3-3,César Soto,Match Report,
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,4.3,1.3,53,38421,Karim Benzema,4-3-3,Adrián Cordero,Match Report,
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,2.0,2.5,62,19643,Nacho,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,1.3,1.1,52,52232,Karim Benzema,4-3-3,Santiago Jaime,Match Report,
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,0.9,2.4,46,,Karim Benzema,4-3-3,Clément Turpin,Match Report,
