Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,52,52,4770,53.0,46,0.87,196,151,77.6,37,7,8,22,42.3,5,2,3,0,60.0,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4,4,390,4.3,4,0.92,14,11,78.6,2,1,1,0,0.0,2,1,1,0,50.0,Matches
