Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,4,4,325,3.6,0.00,0.28,0.00,0.00,0.00,0.28,0.00,0.00,0.28,0.28,0.00,0.28,0.00,0.00,0.17,0.17,0.01,0.16,0.17,0.01,0.17,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,7,4,289,3.2,0.31,0.00,0.31,0.00,0.00,0.63,0.00,0.31,0.00,0.31,0.31,0.31,0.37,0.37,0.00,0.41,0.38,0.01,0.39,0.38,0.39,Matches
Blanco\506daeac,es ESP,MF,21,2,0,38,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,3,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.33,1.00,2.33,1.31,1.12,2.43,1.31,2.43,Matches
Mario Gila\9c435456,es ESP,DF,20,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32,Matches
Latasa\2bea832e,es ESP,FW,20,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.19,0.00,1.19,1.19,1.19,Matches
Toni Fuidias\33d2c795,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafa\3239a8ed,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis López\ccb491d0,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Piñeiro\ef6a4afe,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
