,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,15,1,369,4.1,1,3,1,0,0,1,0,0.24,0.73,0.98,0.24,0.98,2.2,2.2,0.8,3.0,0.55,0.20,0.74,0.55,0.74,Matches
Blanco\506daeac,es ESP,MF,21,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,1.31,1.12,2.43,1.31,2.43,Matches
Mario Gila\9c435456,es ESP,DF,20,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.32,0.32,0.00,0.32,Matches
Latasa\2bea832e,es ESP,FW,20,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.19,0.00,1.19,1.19,1.19,Matches
Toni Fuidias\33d2c795,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis López\ccb491d0,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Piñeiro\ef6a4afe,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafa\3239a8ed,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,414,3420,38.0,80,59,72,8,12,76,0,2.11,1.55,3.66,1.89,3.45,74.3,65.2,51.3,116.6,1.96,1.35,3.31,1.72,3.07,
Opponent Total,,,27.6,38,418,3420,38.0,31,20,28,3,5,82,3,0.82,0.53,1.34,0.74,1.26,47.0,43.1,33.6,76.7,1.24,0.89,2.12,1.13,2.02,
