Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,46,2,1,3,0,53.0,0.27,+10.0,+0.20,170,484,35.1,1364,253,25.9,32.3,278,47.1,42.1,404,34,8.4,28,0.56,14.3,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,4,1,0,1,0,3.7,0.29,+1.7,+0.86,9,16,56.3,57,13,12.3,24.0,25,36.0,30.4,25,1,4.0,0,0.00,10.4,Matches
